geography,id,hhcars0_control,hhcars1_control,hhcars2_control,hhcars3_control,hhpersons1_control,hhpersons2_control,hhpersons3_control,hhpersons4_control,hhpersons5_control,hhpersons6_control,hhpersons7_control,hhpersons8_control,hhpersons9_control,hhpersons10_control,hhchildren0_control,hhchildren1_control,hhchildren2_control,hhchildren3_control,hhincome0_control,hhincome26153_control,hhincome54517_control,hhincome98123_control,hhworkers0_control,hhworkers1_control,hhworkers2_control,hhworkers3_control,hhage_of_head5_control,hhage_of_head18_control,hhage_of_head25_control,hhage_of_head35_control,hhage_of_head65_control,hhrace_id1_control,hhrace_id2_control,hhrace_id3_control,hhrace_id4_control,num_hh_control,age0_control,age18_control,age25_control,age65_control,sex1_control,sex2_control,race_id1_control,race_id2_control,race_id3_control,race_id4_control,hhcars0_result,hhcars1_result,hhcars2_result,hhcars3_result,hhpersons1_result,hhpersons2_result,hhpersons3_result,hhpersons4_result,hhpersons5_result,hhpersons6_result,hhpersons7_result,hhpersons8_result,hhpersons9_result,hhpersons10_result,hhchildren0_result,hhchildren1_result,hhchildren2_result,hhchildren3_result,hhincome0_result,hhincome26153_result,hhincome54517_result,hhincome98123_result,hhworkers0_result,hhworkers1_result,hhworkers2_result,hhworkers3_result,hhage_of_head5_result,hhage_of_head18_result,hhage_of_head25_result,hhage_of_head35_result,hhage_of_head65_result,hhrace_id1_result,hhrace_id2_result,hhrace_id3_result,hhrace_id4_result,num_hh_result,age0_result,age18_result,age25_result,age65_result,sex1_result,sex2_result,race_id1_result,race_id2_result,race_id3_result,race_id4_result,hhcars0_diff,hhcars1_diff,hhcars2_diff,hhcars3_diff,hhpersons1_diff,hhpersons2_diff,hhpersons3_diff,hhpersons4_diff,hhpersons5_diff,hhpersons6_diff,hhpersons7_diff,hhpersons8_diff,hhpersons9_diff,hhpersons10_diff,hhchildren0_diff,hhchildren1_diff,hhchildren2_diff,hhchildren3_diff,hhincome0_diff,hhincome26153_diff,hhincome54517_diff,hhincome98123_diff,hhworkers0_diff,hhworkers1_diff,hhworkers2_diff,hhworkers3_diff,hhage_of_head5_diff,hhage_of_head18_diff,hhage_of_head25_diff,hhage_of_head35_diff,hhage_of_head65_diff,hhrace_id1_diff,hhrace_id2_diff,hhrace_id3_diff,hhrace_id4_diff,num_hh_diff,age0_diff,age18_diff,age25_diff,age65_diff,sex1_diff,sex2_diff,race_id1_diff,race_id2_diff,race_id3_diff,race_id4_diff
TAZ,957,141,819,596,254,773,540,174,170,148,5,0,0,0,0,1470,186,114,40,438,653,477,242,605,753,354,98,1,47,280,812,670,1272,301,80,157,1810,537,301,2267,720,1780,2045,2526,654,231,414,141,819,596,254,772,539,173,171,150,5,0,0,0,0,1470,185,114,41,438,653,477,242,605,753,354,98,0,48,285,827,650,1271,301,81,157,1810,539,301,2242,751,1783,2050,2532,654,232,415,0,0,0,0,-1,-1,-1,1,2,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,1,5,15,-20,-1,0,1,0,0,2,0,-25,31,3,5,6,0,1,1
TAZ,958,99,490,520,258,551,405,221,128,52,5,3,1,0,1,1120,155,75,17,225,271,341,530,406,536,358,67,0,17,178,664,508,1007,192,41,127,1367,361,168,1793,543,1356,1509,2072,371,110,312,99,490,520,258,549,405,221,129,52,5,3,2,0,1,1121,154,74,18,225,271,341,530,406,537,358,66,0,17,183,682,485,1007,192,41,127,1367,367,169,1760,580,1362,1514,2081,372,110,313,0,0,0,0,-2,0,0,1,0,0,0,1,0,0,1,-1,-1,1,0,0,0,0,0,1,0,-1,0,0,5,18,-23,0,0,0,0,0,6,1,-33,37,6,5,9,1,0,1
TAZ,959,50,326,477,236,292,424,177,143,46,6,0,0,1,0,823,130,109,27,117,139,268,565,212,477,340,60,0,13,120,589,367,797,149,33,110,1089,432,110,1225,751,1222,1296,1814,318,81,305,50,326,477,236,292,424,177,143,46,7,0,0,0,0,823,130,109,27,117,139,268,565,211,477,340,61,0,13,120,589,367,801,144,33,111,1089,432,111,1228,744,1222,1293,1804,326,80,305,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,4,-5,0,1,0,0,1,3,-7,0,-3,-10,8,-1,0
TAZ,960,107,471,283,98,370,244,159,128,49,5,1,1,1,1,715,153,71,20,502,256,153,48,387,374,167,31,0,37,132,421,369,601,207,53,98,959,357,147,952,701,982,1175,1310,427,154,266,107,471,283,98,371,246,159,127,49,5,1,1,0,0,715,153,71,20,501,257,153,48,386,374,168,31,0,38,131,416,374,606,207,46,100,959,357,148,952,681,972,1166,1275,424,181,258,0,0,0,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,-1,0,1,0,0,1,-1,-5,5,5,0,-7,2,0,0,1,0,-20,-10,-9,-35,-3,27,-8
TAZ,962,110,430,336,103,335,333,140,89,56,14,10,2,0,0,689,153,87,50,447,323,136,73,357,403,190,29,1,42,130,447,359,643,184,58,94,979,494,205,991,537,985,1242,1404,417,173,233,111,429,337,102,335,333,140,89,56,14,10,2,0,0,688,155,86,50,447,323,137,72,357,404,190,28,1,42,130,446,360,642,184,59,94,979,496,205,992,534,982,1245,1392,425,174,236,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,-1,2,-1,0,0,0,1,-1,0,1,0,-1,0,0,0,-1,1,-1,0,1,0,0,2,0,1,-3,-3,3,-12,8,1,3
TAZ,963,114,536,568,221,412,576,224,129,28,32,27,7,3,1,1062,204,108,65,394,421,488,136,457,586,314,82,0,39,203,678,519,995,245,65,134,1439,662,301,1605,803,1585,1786,2210,598,212,351,114,535,568,222,412,576,223,130,28,32,27,7,3,1,1062,203,109,65,394,420,489,136,458,585,314,82,0,39,202,678,520,995,245,65,134,1439,664,299,1605,800,1584,1784,2206,601,212,349,0,-1,0,1,0,0,-1,1,0,0,0,0,0,0,0,-1,1,0,0,-1,1,0,1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,2,-2,0,-3,-1,-2,-4,3,0,-2
TAZ,964,40,205,197,81,126,190,55,107,24,15,6,0,0,0,341,84,63,35,167,185,147,24,160,202,129,32,0,8,73,259,183,344,103,31,45,523,327,128,625,271,643,708,840,277,109,125,40,205,197,81,126,190,55,107,24,15,6,0,0,0,342,84,62,35,167,185,147,24,160,202,129,32,0,9,73,258,183,343,103,31,46,523,328,128,625,270,643,708,837,277,109,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,1,0,1,0,0,-1,0,0,-3,0,0,3
TAZ,965,136,987,825,358,830,713,351,291,65,29,21,4,1,1,1735,277,214,80,455,695,744,412,679,979,541,107,0,46,299,1133,828,1599,388,95,224,2306,971,422,2522,1255,2483,2687,3432,870,266,602,136,986,826,358,830,713,351,291,65,29,21,4,1,1,1738,275,213,80,455,694,743,414,679,977,543,107,0,47,298,1132,829,1600,387,95,224,2306,976,423,2521,1251,2482,2689,3431,872,264,604,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,3,-2,-1,0,0,-1,-1,2,0,-2,2,0,0,1,-1,-1,1,1,-1,0,0,0,5,1,-1,-4,-1,2,-1,2,-2,2
TAZ,966,107,607,526,241,509,413,197,290,38,16,11,7,0,0,1058,186,184,53,359,488,439,195,440,587,357,97,1,28,203,724,525,1043,247,52,139,1481,738,338,1672,757,1673,1832,2352,596,159,398,107,606,527,241,509,414,197,288,38,16,12,7,0,0,1058,186,183,54,360,487,439,195,441,586,357,97,0,28,203,724,526,1043,247,52,139,1481,735,339,1675,757,1674,1832,2356,595,158,397,0,-1,1,0,0,1,0,-2,0,0,1,0,0,0,0,0,-1,1,1,-1,0,0,1,-1,0,0,-1,0,0,0,1,0,0,0,0,0,-3,1,3,0,1,0,4,-1,-1,-1
TAZ,967,46,364,434,208,254,263,156,202,76,42,44,7,4,4,645,161,139,107,169,319,425,139,241,436,281,94,0,31,138,574,309,686,182,58,126,1052,833,329,1454,519,1501,1634,1897,588,223,427,46,364,434,208,254,263,156,202,76,42,44,7,4,4,645,161,139,107,169,319,425,139,239,438,281,94,0,31,139,574,308,686,182,58,126,1052,837,327,1450,515,1498,1631,1895,586,223,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,1,0,-1,0,0,0,0,0,4,-2,-4,-4,-3,-3,-2,-2,0,-2
TAZ,968,74,481,549,221,356,509,181,159,97,17,5,0,0,1,963,170,134,58,209,329,572,215,359,531,354,81,0,27,181,643,474,921,222,50,132,1325,630,298,1546,711,1545,1640,2136,541,123,385,74,482,548,221,356,509,181,159,97,17,5,0,0,1,963,170,134,58,210,330,571,214,360,530,354,81,0,27,181,643,474,920,223,50,132,1325,630,298,1547,711,1546,1640,2133,543,124,386,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,1,0,-3,2,1,1
TAZ,969,180,746,320,92,780,336,150,41,17,7,3,1,2,1,1167,102,53,16,730,344,208,56,656,508,149,25,0,56,165,497,620,884,292,54,108,1338,271,199,1000,780,963,1287,1410,515,114,211,180,746,320,92,780,335,149,41,18,7,4,1,2,1,1166,101,54,17,731,343,208,56,656,507,150,25,0,56,165,496,621,882,294,54,108,1338,278,201,1000,778,968,1289,1409,522,114,212,0,0,0,0,0,-1,-1,0,1,0,1,0,0,0,-1,-1,1,1,1,-1,0,0,0,-1,1,0,0,0,0,-1,1,-2,2,0,0,0,7,2,0,-2,5,2,-1,7,0,1
TAZ,970,51,366,397,202,222,332,312,48,80,16,5,0,1,0,704,179,85,48,233,312,342,129,259,418,276,63,0,35,147,506,328,680,179,53,104,1016,506,261,1244,543,1215,1339,1652,452,144,306,51,365,398,202,222,332,313,48,80,15,5,0,1,0,705,178,85,48,232,313,342,129,260,417,277,62,0,36,147,504,329,681,178,53,104,1016,505,262,1241,543,1216,1335,1651,450,144,306,0,-1,1,0,0,0,1,0,0,-1,0,0,0,0,1,-1,0,0,-1,1,0,0,1,-1,1,-1,0,1,0,-2,1,1,-1,0,0,0,-1,1,-3,0,1,-4,-1,-2,0,0
TAZ,971,118,455,351,108,431,345,147,16,42,39,7,2,1,2,828,106,46,52,406,246,275,105,401,392,204,35,0,42,130,423,437,707,188,52,85,1032,383,214,977,591,1008,1157,1416,368,167,214,118,455,350,109,431,345,147,15,42,39,8,2,1,2,829,105,45,53,406,245,276,105,402,392,203,35,0,42,130,423,437,711,185,52,84,1032,388,214,976,590,1011,1157,1410,382,167,209,0,0,-1,1,0,0,0,-1,0,0,1,0,0,0,1,-1,-1,1,0,-1,1,0,1,0,-1,0,0,0,0,0,0,4,-3,0,-1,0,5,0,-1,-1,3,0,-6,14,0,-5
TAZ,972,30,248,424,218,254,298,142,132,84,9,0,1,0,0,673,119,92,36,71,66,206,577,181,365,298,76,0,6,89,547,278,723,81,18,98,920,415,152,1090,629,1149,1137,1706,197,77,306,30,248,425,217,254,299,142,132,83,9,0,1,0,0,674,119,91,36,71,66,206,577,181,367,296,76,0,6,89,546,279,721,82,19,98,920,412,152,1095,624,1148,1135,1704,200,74,305,0,0,1,-1,0,1,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,2,-2,0,0,0,0,-1,1,-2,1,1,0,0,-3,0,5,-5,-1,-2,-2,3,-3,-1
TAZ,973,43,357,712,381,280,574,220,276,117,14,5,4,3,0,1035,198,193,67,76,180,349,888,275,504,562,152,0,17,170,857,449,1105,184,41,163,1493,801,251,1848,1055,1927,2028,2805,521,117,512,43,356,712,382,281,573,221,275,117,14,5,4,3,0,1037,198,192,66,76,180,349,888,275,502,563,153,0,17,168,856,452,1106,185,40,162,1493,798,252,1856,1047,1926,2027,2798,523,120,512,0,-1,0,1,1,-1,1,-1,0,0,0,0,0,0,2,0,-1,-1,0,0,0,0,0,-2,1,1,0,0,-2,-1,3,1,1,-1,-1,0,-3,1,8,-8,-1,-1,-7,2,3,0
TAZ,974,47,297,340,135,288,250,116,145,20,0,0,0,0,0,612,110,89,8,134,193,344,148,238,333,194,54,0,20,111,391,297,585,136,19,79,819,312,119,988,397,883,933,1263,307,52,194,47,296,340,136,288,250,117,144,20,0,0,0,0,0,613,110,89,7,134,192,345,148,239,332,194,54,0,20,111,390,298,587,136,18,78,819,309,119,988,399,882,933,1270,305,48,192,0,-1,0,1,0,0,1,-1,0,0,0,0,0,0,1,0,0,-1,0,-1,1,0,1,-1,0,0,0,0,0,-1,1,2,0,-1,-1,0,-3,0,0,2,-1,0,7,-2,-4,-2
TAZ,975,38,268,269,144,281,183,93,130,31,0,1,0,0,0,534,77,87,21,90,151,238,240,181,305,184,49,2,12,89,382,234,528,95,19,77,719,317,84,892,315,764,844,1151,198,47,212,38,268,269,144,281,183,93,130,31,0,1,0,0,0,533,77,88,21,91,151,237,240,181,305,185,48,0,12,89,383,235,527,95,19,78,719,318,82,893,315,765,843,1150,197,45,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,-1,0,0,0,1,-1,-2,0,0,1,1,-1,0,0,1,0,1,-2,1,0,1,-1,-1,-1,-2,4
TAZ,976,45,228,278,120,203,218,101,125,20,4,0,0,0,0,475,106,73,17,148,88,231,204,192,232,200,47,0,16,75,342,238,482,89,27,73,671,305,100,834,327,729,837,1097,192,75,202,45,228,277,121,203,218,101,126,20,3,0,0,0,0,475,107,73,16,147,88,231,205,191,233,200,47,0,16,76,342,237,482,89,27,73,671,303,100,835,326,728,836,1097,191,74,202,0,0,-1,1,0,0,0,1,0,-1,0,0,0,0,0,1,0,-1,-1,0,0,1,-1,1,0,0,0,0,1,0,-1,0,0,0,0,0,-2,0,1,-1,-1,-1,0,-1,-1,0
TAZ,977,33,261,313,146,221,269,124,83,33,23,0,0,0,0,547,117,58,31,80,155,273,245,179,318,206,50,0,14,90,396,253,529,124,25,75,753,335,96,989,346,873,893,1215,291,54,206,33,260,314,146,221,269,124,83,33,23,0,0,0,0,548,117,57,31,80,155,274,244,179,316,208,50,0,15,89,397,252,530,124,25,74,753,331,97,990,348,873,893,1218,290,55,203,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,-1,0,-2,2,0,0,1,-1,1,-1,1,0,0,-1,0,-4,1,1,2,0,0,3,-1,1,-3
TAZ,978,34,238,240,128,209,198,89,132,12,0,0,0,0,0,469,77,87,7,117,164,193,166,176,254,169,41,0,16,72,324,228,441,113,27,59,640,272,88,787,313,681,779,989,237,71,163,34,236,241,129,209,198,88,133,12,0,0,0,0,0,469,77,87,7,117,163,194,166,176,255,168,41,0,16,71,324,229,442,113,27,58,640,272,86,788,315,681,780,992,237,71,161,0,-2,1,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,-1,0,0,0,-1,0,1,1,0,0,-1,0,0,-2,1,2,0,1,3,0,0,-2
TAZ,979,22,206,166,94,191,93,114,76,0,14,0,0,0,0,354,75,47,12,42,137,174,135,107,220,126,35,0,9,56,264,159,364,63,16,45,488,212,72,608,215,535,572,796,140,47,124,22,206,166,94,191,93,114,76,0,14,0,0,0,0,354,75,47,12,42,136,174,136,107,219,126,36,0,9,56,264,159,364,63,16,45,488,211,71,610,215,535,572,795,139,48,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,2,0,0,0,-1,-1,1,1
TAZ,981,30,192,317,215,166,226,210,116,9,25,2,0,0,0,502,151,74,27,65,127,162,400,142,284,259,69,0,15,82,425,232,541,98,23,92,754,388,126,1068,339,932,989,1310,263,65,283,30,191,317,216,166,226,210,116,9,25,2,0,0,0,503,150,74,27,65,127,162,400,141,284,260,69,0,15,82,425,232,541,98,23,92,754,389,126,1067,339,934,987,1310,260,65,286,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,2,-2,0,-3,0,3
TAZ,982,127,701,714,310,747,594,295,186,24,6,0,0,0,0,1463,243,128,18,400,375,440,637,566,744,463,79,0,47,219,900,686,1352,251,77,172,1852,554,194,2097,875,1728,1992,2618,473,186,443,127,700,714,311,747,594,294,187,24,6,0,0,0,0,1464,242,128,18,400,375,440,637,566,745,462,79,0,47,218,902,685,1352,251,77,172,1852,554,196,2094,877,1730,1991,2619,473,186,443,0,-1,0,1,0,0,-1,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,-1,2,-1,0,0,0,0,0,0,2,-3,2,2,-1,1,0,0,0
TAZ,983,89,758,765,334,709,655,255,261,50,15,1,0,0,0,1545,220,149,32,289,481,585,591,517,847,477,105,0,39,247,965,695,1387,284,80,195,1946,615,320,2422,818,1993,2182,2873,584,186,532,89,758,764,335,708,654,256,262,50,15,1,0,0,0,1547,220,147,32,290,480,585,591,517,846,478,105,0,39,249,971,687,1389,283,80,194,1946,617,322,2409,831,1995,2184,2873,592,186,528,0,0,-1,1,-1,-1,1,1,0,0,0,0,0,0,2,0,-2,0,1,-1,0,0,0,-1,1,0,0,0,2,6,-8,2,-1,0,-1,0,2,2,-13,13,2,2,0,8,0,-4
TAZ,984,70,340,229,92,379,221,64,29,37,0,0,1,0,0,647,45,25,14,241,154,127,209,280,283,139,29,0,19,82,322,308,529,111,20,71,731,138,116,734,334,605,717,945,194,37,146,70,341,228,92,378,222,63,31,36,0,0,1,0,0,647,45,26,13,240,154,127,210,279,284,139,29,0,19,82,326,304,529,111,19,72,731,137,115,730,341,604,719,946,194,34,149,0,1,-1,0,-1,1,-1,2,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,1,-1,1,0,0,0,0,0,4,-4,0,0,-1,1,0,-1,-1,-4,7,-1,2,1,0,-3,3
TAZ,985,17,208,300,153,166,296,92,117,4,2,1,0,0,0,539,78,56,5,51,78,262,287,148,289,208,33,0,6,69,358,245,490,95,19,74,678,207,110,930,294,770,771,1088,202,51,200,17,208,299,154,165,295,93,118,4,2,1,0,0,0,538,79,56,5,50,78,262,288,147,289,209,33,0,6,70,361,241,492,92,19,75,678,207,110,926,302,773,772,1085,204,54,202,0,0,-1,1,-1,-1,1,1,0,0,0,0,0,0,-1,1,0,0,-1,0,0,1,-1,0,1,0,0,0,1,3,-4,2,-3,0,1,0,0,0,-4,8,3,1,-3,2,3,2
TAZ,986,51,365,352,130,359,323,127,56,27,3,1,2,0,0,768,77,37,16,153,225,243,277,266,400,185,47,0,23,96,432,347,653,137,23,85,898,200,153,1045,388,857,929,1246,285,55,200,51,365,352,130,358,324,127,56,27,3,1,2,0,0,768,77,37,16,153,224,244,277,266,400,185,47,0,23,97,436,342,650,140,23,85,898,201,152,1037,397,858,929,1254,278,55,200,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,4,-5,-3,3,0,0,0,1,-1,-8,9,1,0,8,-7,0,0
